Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Inter American University of Puerto Rico-Guayama,3,4,Private,Outlying Areas,Small City,0.7286,0,0,2054,11944,4294,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Metro,3,4,Private,Outlying Areas,Large City,0.3711,0,0,6844,13319,4998,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-Ponce,3,4,Private,Outlying Areas,Mid-size Suburb,0.5307,0,0,5353,10884,4363,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Inter American University of Puerto Rico-San German,3,4,Private,Outlying Areas,Small City,0.6976,0,0,4308,10830,4685,7250,22.32999992,17971.97,13417.5,6252,20500,17500
Iona College,3,4,Private,Mid-Atlantic,Large Suburb,0.9212,22,1009,3166,44623,9082,21000,19.98999977,94283.08,79521,95,49300,45400
Iowa State University,3,4,Public,Great Plains,Small City,0.8252,25,1145,27112,18820,10027,19750,20.34000015,81434.68,73557,433,47500,43500
Ithaca College,3,4,Private,Mid-Atlantic,Small Suburb,0.666,0,0,6202,53521,8425,23251,19.42000008,103308.55,92718,98,48700,45600
Jackson State University,3,4,Public,Southeast,Mid-size City,0.6464,19,910,6880,18724,6761,23750,23.13999939,29677.48,21113,254,29300,26000
Jacksonville State University,3,4,Public,Southeast,Small City,0.8326,23,1036,7195,19202,6857,16500,22.81999969,47062.65,35158,306,33400,31300
Jacksonville University,3,4,Private,Southeast,Large City,0.4737,22,1010,3360,42459,6923,15000,25.45999908,68702.63,55957,79,49000,42100
James Madison University,3,4,Public,Southeast,Small City,0.6356,25,1149,18127,21980,8016,18500,19.67000008,108473.44,99908,197,52300,48800
John Brown University,3,4,Private,Southeast,Distant Town,0.6982,25,1144,1770,33326,6425,17900,25.43000031,65047.55,53841.5,77,49600,43100
John Carroll University,3,4,Private,Great Lakes,Large Suburb,0.8334,25,1112,3009,45714,8098,23489.5,19.78000069,104804.16,88730,50,48500,45100
Johns Hopkins University,3,4,Private,Mid-Atlantic,Large City,0.1813,32,1418,5932,58980,10922,17500,22.92000008,83968.47,57761.5,135,73800,64400
Johnson & Wales University-North Miami,3,3,Private,Southeast,Large Suburb,0.6496,0,0,1937,38974,7491,20667,20.85000038,71585.99,55421,798,35500,33000
Johnson & Wales University-Providence,3,4,Private,New England,Mid-size City,0.7602,0,0,9067,40136,8309,20667,20.85000038,71585.99,55421,798,35500,33000
Johnson C Smith University,3,3,Private,Southeast,Large City,0.3668,17,826,1382,30314,6158,18750,19.59000015,45964.04,34256.5,73,26000,25100
Johnson State College,3,4,Public,New England,Distant Rural,0.9688,19,948,1433,20404,6661,18000,24.59000015,55871.96,43579,77,30600,28000
Judson University,3,4,Private,Great Lakes,Mid-size City,0.7069,23,1045,1020,37635,6071,18245.5,26.39999962,73319.5,67400.5,74,40400,36300
Juniata College,3,4,Private,Mid-Atlantic,Distant Town,0.7409,0,0,1503,47269,7816,26976.5,19.71999931,90303.29,81010.5,37,46000,43000
